s,sLabel,sAltLabel,st,stLabel,rp,rpLabel,o,oLabel,oAltLabel,ot,otLabel
http://www.wikidata.org/entity/Q89990513,2020 COVID-19 pandemic in Tajikistan,,http://www.wikidata.org/entity/Q3241045,disease outbreak,http://www.wikidata.org/entity/P17,country,http://www.wikidata.org/entity/Q863,Tajikistan,"Republic of Tajikistan, tj, 🇹🇯, TJK",http://www.wikidata.org/entity/Q123480,landlocked country
http://www.wikidata.org/entity/Q89990513,2020 COVID-19 pandemic in Tajikistan,,http://www.wikidata.org/entity/Q3241045,disease outbreak,http://www.wikidata.org/entity/P276,location,http://www.wikidata.org/entity/Q863,Tajikistan,"Republic of Tajikistan, tj, 🇹🇯, TJK",http://www.wikidata.org/entity/Q123480,landlocked country
http://www.wikidata.org/entity/Q89990513,2020 COVID-19 pandemic in Tajikistan,,http://www.wikidata.org/entity/Q3241045,disease outbreak,http://www.wikidata.org/entity/P17,country,http://www.wikidata.org/entity/Q863,Tajikistan,"Republic of Tajikistan, tj, 🇹🇯, TJK",http://www.wikidata.org/entity/Q179164,unitary state
http://www.wikidata.org/entity/Q89990513,2020 COVID-19 pandemic in Tajikistan,,http://www.wikidata.org/entity/Q3241045,disease outbreak,http://www.wikidata.org/entity/P276,location,http://www.wikidata.org/entity/Q863,Tajikistan,"Republic of Tajikistan, tj, 🇹🇯, TJK",http://www.wikidata.org/entity/Q179164,unitary state
http://www.wikidata.org/entity/Q89990513,2020 COVID-19 pandemic in Tajikistan,,http://www.wikidata.org/entity/Q3241045,disease outbreak,http://www.wikidata.org/entity/P17,country,http://www.wikidata.org/entity/Q863,Tajikistan,"Republic of Tajikistan, tj, 🇹🇯, TJK",http://www.wikidata.org/entity/Q3624078,sovereign state
http://www.wikidata.org/entity/Q89990513,2020 COVID-19 pandemic in Tajikistan,,http://www.wikidata.org/entity/Q3241045,disease outbreak,http://www.wikidata.org/entity/P276,location,http://www.wikidata.org/entity/Q863,Tajikistan,"Republic of Tajikistan, tj, 🇹🇯, TJK",http://www.wikidata.org/entity/Q3624078,sovereign state
http://www.wikidata.org/entity/Q89990513,2020 COVID-19 pandemic in Tajikistan,,http://www.wikidata.org/entity/Q3241045,disease outbreak,http://www.wikidata.org/entity/P361,part of,http://www.wikidata.org/entity/Q83741704,COVID-19 pandemic by country and territory,"2019–20 coronavirus pandemic by country and territory, coronavirus pandemic by country and territory",http://www.wikidata.org/entity/Q13406463,Wikimedia list article
http://www.wikidata.org/entity/Q89990513,2020 COVID-19 pandemic in Tajikistan,,http://www.wikidata.org/entity/Q3241045,disease outbreak,http://www.wikidata.org/entity/P361,part of,http://www.wikidata.org/entity/Q86521237,COVID-19 pandemic in Asia,"2019–20 coronavirus pandemic in Asia, 2019–20 coronavirus outbreak in Asia",http://www.wikidata.org/entity/Q3241045,disease outbreak
http://www.wikidata.org/entity/Q89990513,2020 COVID-19 pandemic in Tajikistan,,http://www.wikidata.org/entity/Q3241045,disease outbreak,http://www.wikidata.org/entity/P910,topic's main category,http://www.wikidata.org/entity/Q98380958,Category:COVID-19 pandemic in Tajikistan,,http://www.wikidata.org/entity/Q4167836,Wikimedia category
http://www.wikidata.org/entity/Q92512996,COVID-19 pandemic in Guayana Esequiba,Coronavirus pandemic in Guayana Esequina,http://www.wikidata.org/entity/Q216227,state of emergency,http://www.wikidata.org/entity/P17,country,http://www.wikidata.org/entity/Q717,Venezuela,"Bolivarian Republic of Venezuela, BR Venezuela, Estados Unidos de Venezuela, VE, 🇻🇪, VEN, Vzla",http://www.wikidata.org/entity/Q3624078,sovereign state
http://www.wikidata.org/entity/Q92512996,COVID-19 pandemic in Guayana Esequiba,Coronavirus pandemic in Guayana Esequina,http://www.wikidata.org/entity/Q3241045,disease outbreak,http://www.wikidata.org/entity/P17,country,http://www.wikidata.org/entity/Q717,Venezuela,"Bolivarian Republic of Venezuela, BR Venezuela, Estados Unidos de Venezuela, VE, 🇻🇪, VEN, Vzla",http://www.wikidata.org/entity/Q3624078,sovereign state
http://www.wikidata.org/entity/Q92512996,COVID-19 pandemic in Guayana Esequiba,Coronavirus pandemic in Guayana Esequina,http://www.wikidata.org/entity/Q216227,state of emergency,http://www.wikidata.org/entity/P17,country,http://www.wikidata.org/entity/Q734,Guyana,"Co-operative Republic of Guyana, GUY, gy, 🇬🇾, Republic of Guyana",http://www.wikidata.org/entity/Q3624078,sovereign state
http://www.wikidata.org/entity/Q92512996,COVID-19 pandemic in Guayana Esequiba,Coronavirus pandemic in Guayana Esequina,http://www.wikidata.org/entity/Q3241045,disease outbreak,http://www.wikidata.org/entity/P17,country,http://www.wikidata.org/entity/Q734,Guyana,"Co-operative Republic of Guyana, GUY, gy, 🇬🇾, Republic of Guyana",http://www.wikidata.org/entity/Q3624078,sovereign state
http://www.wikidata.org/entity/Q92512996,COVID-19 pandemic in Guayana Esequiba,Coronavirus pandemic in Guayana Esequina,http://www.wikidata.org/entity/Q216227,state of emergency,http://www.wikidata.org/entity/P31,instance of,http://www.wikidata.org/entity/Q216227,state of emergency,"national emergencies, national emergency, state of emergencies",http://www.wikidata.org/entity/Q2135465,legal concept
http://www.wikidata.org/entity/Q92512996,COVID-19 pandemic in Guayana Esequiba,Coronavirus pandemic in Guayana Esequina,http://www.wikidata.org/entity/Q3241045,disease outbreak,http://www.wikidata.org/entity/P31,instance of,http://www.wikidata.org/entity/Q216227,state of emergency,"national emergencies, national emergency, state of emergencies",http://www.wikidata.org/entity/Q2135465,legal concept
http://www.wikidata.org/entity/Q92512996,COVID-19 pandemic in Guayana Esequiba,Coronavirus pandemic in Guayana Esequina,http://www.wikidata.org/entity/Q216227,state of emergency,http://www.wikidata.org/entity/P276,location,http://www.wikidata.org/entity/Q816253,Guayana Esequiba,Zona en Reclamación,http://www.wikidata.org/entity/Q15239622,disputed territory
